	company	description	founded_on	categories	num_of_employees	revenue	website	location	funding	funding_stage	founder_names	founder_uuids	investors	num_of_investors	rank_change_week	rank_change_month	rank_change_quarter	rank	status	embedding_distance
97	Wisiwig	Wisiwig is the designer-first UI development platform that lets designers deliver code.	2022-04-01	B2B,Developer Tools,Enterprise Software,UX Design,Web Design,Web Development	1-10	NA	https://www.wisiwig.co	Cambridge,Massachusetts,United States,North America	0	NA	Chris Shepard	04543b25-ed70-4d31-b89e-b2fd922c58e8	MassChallenge	1.0	0.7	3.1	1.2	535928.0	active	0.67134999616504
75	Repaint	Repaint is an early stage startup building a visual design tool for making websites.	2023-05-17	Developer Tools,SaaS,Web Design	1-10	NA	https://repaint.com/	San Francisco,California,United States,North America	0	seed	Not found	Not found	Y Combinator,Unpopular Ventures	2.0	-0.1	0.2	-0.1	202898.0	active	0.6721075681432602
103	Jay Mehta	Jaymehta.co, a cutting-edge digital solutions provider, is excited to announce the launch of its new business.	2022-11-01	Consulting,Information Technology,Mobile Apps,Social Media Advertising,Social Media Management,Social Media Marketing,Software,Training,Web Design	251-500	NA	https://www.jaymehta.co	Austin,Texas,United States,North America	0	seed	Not found	Not found	Jay Mehta	1.0	-0.4	0.0	-0.7	653519.0	active	0.6726286085354032
88	UHF DIGITAL	UHF Digital marketing agency services and campaign management expertise will help create a seamless customer journey	2022-10-15	Web Design,Web Development	1-10	NA	https://uhfdigital.com/	Ranchi,Jharkhand,India,Asia	1800	seed	Rishima Jain	3cdb23bd-d4b2-4950-a195-c91696e88ef9	Not found	NA	-0.1	0.3	1.3	278571.0	active	0.6728246542849243
16	Webstudio	Open Source Webflow alternative	2022-06-01	Software,Web Design,Web Development	1-10	NA	https://webstudio.is	Not found	1200000	seed	Not found	Not found	Seedcamp,Tiny VC,Amjad Masad,Austen Allred,Remote First Capital	6.0	0.1	-0.1	2.8	52422.0	active	0.6744983485184168
43	Buildit IT	Buildit IT is an AI/ML powered create your own website within few minutes.	2021-10-22	Artificial Intelligence (AI),Information Technology,Machine Learning,SaaS,Software,Web Design,Web Development	11-50	NA	https://buildit.quest/	Colombo,Western,Sri Lanka,Asia	171000	early_stage_venture	Udesh Kanakeratne	bc06025c-5ba5-419c-b533-d7b14cf04939	Techstars	1.0	-0.2	-0.5	-0.3	108298.0	active	0.6767398641885296
90	Vivid	Vivid syncs designs with your codebase by generating and updating UI code for you.	2022-07-01	Developer Tools,Product Design,SaaS,Web Design	1-10	NA	https://vivid.lol	New York,New York,United States,North America	0	seed	Not found	Not found	Neo	1.0	0.0	-0.1	9.3	305623.0	active	0.6788011174201749
44	Accentec	Innovative solutions for a connected world	2023-03-12	Consulting,Developer Tools,Internet of Things,Mobile Apps,Service Industry,Software,Web Design,Web Development	11-50	NA	https://accentec.co	Mumbai,Maharashtra,India,Asia	250000	seed	Not found	Not found	Not found	NA	-0.1	-0.2	-0.8	110896.0	active	0.6919152232820145
95	BORING Design Lab	BORING Design Lab is a software company that specializes in brand identities, web design, digital products, and image planning.	2021-01-01	Blockchain,Software,Web Design	1-10	NA	https://www.boring-lab.com/	Taipei,T'ai-pei,Taiwan,Asia	0	seed	Not found	Not found	Imprint Lab	1.0	1.8	4.8	5.6	501738.0	active	0.6919180913398535
76	LoopGenius	LoopGenius provides marketing automation, websites, content marketing plans, and sales strategies to attract and convert customers.	2023-01-01	Artificial Intelligence (AI),Content Marketing,Digital Marketing,Marketing Automation,Software,Web Design,Web Development,Web Hosting	1-10	NA	https://www.loopgenius.com	San Francisco,California,United States,North America	0	seed	Jamasen Rodriguez	5d654f6e-a81b-590b-6d78-1b34e610d747	Half Court Ventures	1.0	0.4	1.0	1.1	207409.0	active	0.69256000005714
59	Snappie	AI powered Saas platform that digitalizes web design and development	2022-09-07	Artificial Intelligence (AI),UX Design,Web Design,Web Development	1-10	NA	https://snappie.dev/	Dublin,Dublin,Ireland,Europe	105053	seed	Ivan Cardillo,Medhanie Robel Abraham,Mihael Melnic	36841445-6d4a-4117-96e4-5838ad9096df,7c262fe3-f7a0-48af-8a05-85e753b4b0c3,a45c23af-0b8b-4aad-b6d8-f9fc92ae3779	Not found	NA	-0.1	-0.2	-0.3	126754.0	active	0.6928234232575033
71	BITBUILDERS TECHNOLOGIES PVT LTD	WEB DEVELOPMENT & SUPPORT SERVICES FOR YOUR BUSINESS	2022-09-17	Information Technology,Software,Web Design,Web Development	11-50	NA	https://codifyltd.in/	Farrukhabad,Uttar Pradesh,India,Asia	604	seed	Prince Vishnoi	221a9528-3e5e-4e0c-810a-0604234f11a9	Not found	NA	-0.1	0.0	-0.3	178059.0	active	0.6962317460820946
73	One Pixel Media	Web Development & Search Engine Marketing Company	2021-08-18	Digital Marketing,SEO,Web Design,Web Development	1-10	NA	https://onepixelmedia.com/	Ho Chi Minh City,NA - Vietnam,Vietnam,Asia	8000	seed	Cong Tan Huynh	ada2b17d-a7a8-4b68-8b74-9f89d1a4bb20	Cong Tan Huynh	1.0	-0.1	-0.1	0.6	190127.0	active	0.6977987900154878
125	WeFlare	Growth Marketing Agency	2023-03-03	Consulting,E-Commerce,Marketing,Professional Services,Web Design,Web Development	1-10	NA	https://weflare.co	Castellón,Comunidad Valenciana,Spain,Europe	100000	seed	Not found	Not found	Not found	NA	NA	NA	NA	NA	active	0.6981670338491359
74	Ra Quotes	We help businesses choose the right path for their digital growth & also walk along with them	2023-03-01	Web Design,Web Development	1-10	NA	https://raquotes.com	Lucknow,Uttar Pradesh,India,Asia	2400	seed	Kani Saran	05cf5fc5-fcf4-4e9e-867d-22a88a8ab9ba	Not found	NA	-0.1	-0.1	-0.4	195540.0	active	0.699382725530661
109	BlueMeta Technologies	BlueMeta Technologies provides custom software solutions, data collection, visualization, cloud architecture, and cloud delivery services.	2022-01-01	Cloud Data Services,Consumer Software,Data Collection and Labeling,Web Design,Web Development	1-10	NA	https://bluemetatech.com	Baltimore,Maryland,United States,North America	0	NA	Not found	Not found	Hutch	1.0	-0.4	-0.6	-1.2	796511.0	active	0.699826903159972
106	New Order Solutions	New Order Solutions is a digital marketing company that supports the small business vendors to local companies.	2021-09-03	Digital Marketing,Graphic Design,SEO,Web Design,Web Development	1-10	NA	https://newordersolutions.live/	Bengaluru,Karnataka,India,Asia	0	seed	Not found	Not found	Not found	NA	-0.2	0.1	-0.1	721072.0	active	0.700054400262481
17	CultNerds IT Solutions Pvt Ltd	Digital Transformation Company	2021-11-01	Advertising,Information Technology,Marketing,Web Design,Web Development	51-100	NA	https://cultnerds.io	Hyderabad,Andhra Pradesh,India,Asia	158591	seed	Not found	Not found	Not found	NA	-0.2	1.0	2.0	55562.0	active	0.7017328984483443
62	Criya	Your Professional Brand in 1-click, with AI	2021-11-01	Apps,Content Creators,Internet,Service Industry,Software,Web Design	11-50	$1M to $10M	https://www.criya.co	San Jose,California,United States,North America	0	NA	Deboshree Dutta	b59a0f6b-4912-4581-8021-91d047821a46	Y Combinator	1.0	0.0	0.1	2.2	145680.0	active	0.7044342419952693
78	MoviesMent	MoviesMent do in-depth analyses of requirements, formulate appropriate strategies.	2022-12-29	Web Design,Web Development	1-10	NA	https://moviesment.com	Verna,Goa,India,Asia	10000	seed	ishani Dayal	b5a26644-b30c-48b2-b31e-734f935c2e2a	Not found	NA	-0.1	0.1	0.1	209549.0	active	0.7062773061872608
50	Pivot Technology	Software Company mainly focused on SaaS solutions as integration between ERP and eCommerce / Marketplace, eCommerce Apps and Modules.	2022-01-01	Advertising,Consulting,E-Commerce,Information Technology,Software,Web Design,Web Development,Wholesale	1-10	NA	https://www.pivotech.cl	Santiago,Region Metropolitana,Chile,South America	300000	seed	Andrés Parga,Jaime Luongo,Stefan Paulsen	a2b8c7f4-c3a0-47b3-932c-3ae00d6fc397,619ebb62-fc59-4ac6-8edc-741c6e59cb65,c3589966-f3e7-4bc4-9ab5-15125d6373ca	BLU/STORE,Stech	2.0	0.5	0.0	-0.2	114901.0	active	0.7063725585914208
42	Be Boss Tech	Be BossTech is an AI based Web Design, App Development, and Digital Marketing expertise	2021-09-11	Artificial Intelligence (AI),Digital Marketing,Mobile Apps,Software,Web Design,Web Development	11-50	NA	https://bebosstech.com	Colombo,Western,Sri Lanka,Asia	306000	early_stage_venture	Not found	Not found	Not found	NA	-0.1	-0.1	-0.7	107395.0	active	0.7074316547997236
34	Pixel I Solutions	Pixel I Solutions- Promoting business growth through AI integration and customized AI/ML -powered IT solutions.	2021-03-24	Artificial Intelligence (AI),CMS,E-Commerce,E-Commerce Platforms,Machine Learning,Mobile Apps,Web Apps,Web Design,Web Development	11-50	NA	https://pixelisolutions.com/	Hanoi,NA - Vietnam,Vietnam,Asia	297000	early_stage_venture	Johnny Tri Nguyen	46a8a92a-25c8-48b5-85f3-e6126d6e83f4	AiViet Venture,Vietnam Innovative Startup Accelerator	2.0	-0.1	0.8	8.7	95258.0	active	0.7097460509036952
18	Dexla	AI no-code platform for dynamic apps	2023-01-12	B2B,Information Technology,Software,Web Apps,Web Design,Web Development	1-10	NA	https://www.dexla.ai	London,England,United Kingdom,Europe	225000	seed	Jade Bates,Tom McDonough	ae275a82-6e66-4d41-8a0f-466aefe66786,69e2ac5e-22b9-4065-9182-5b78ce9b26d9	LAUNCH	1.0	0.0	-1.2	2.4	57198.0	active	0.7119441660005188
53	Kwikwins	Community-based venture performance platform	2021-09-29	Marketing,Product Design,Product Management,Product Research,Web Design,Web Development	11-50	NA	https://kwikwins.io	London,England,United Kingdom,Europe	100000	seed	Georgy Shatirov,Sergey Chervyakov	6bcd012e-a3fb-4243-ba3c-5bc9e810da21,698d3a34-0157-4107-885f-e4c1e1ec3402	Not found	NA	-0.1	0.0	2.5	119822.0	active	0.712168164767661
122	Modular DS	Modular DS makes it easier to manage all WordPress websites from one spot.	2021-01-01	Information Technology,Software,Web Design	1-10	NA	https://modulards.com	León,Leon,Nicaragua,North America	357667	seed	Not found	Not found	SCRM Barcelona,Juan Carlos Celaya,Draper B1,Juan Pablo Tejela,Venture on the Road	8.0	NA	NA	NA	NA	active	0.7124930431540581
39	Konect	Konect helps users to create their own website and centralises all online content in one place and makes easy to share with community.	2021-01-01	Internet,Web Design	51-100	NA	https://konect.gg	Lyon,Rhone-Alpes,France,Europe	887932	seed	Not found	Not found	Bpifrance,Kima Ventures,Purple,Id4 ventures	4.0	-0.2	0.2	-0.4	99998.0	active	0.7125291670279279
1	Portal	Portal Labs is building enterprise–grade web3 infrastructure that transforms the platforms into portals.	2021-01-01	Blockchain,Infrastructure,Online Portals,Web Design,Web3	1-10	NA	https://www.portalhq.io/	San Francisco,California,United States,North America	5300000	seed	Raj Parekh	57826ce5-b067-4d59-b110-1d60162d6d6e	Chapter One Ventures,Acrew Capital,Slow Ventures,William Hockey,Henrique Dubugras	7.0	0.0	1.0	2.6	12564.0	active	0.7129098300048811
96	Exclusively	Exclusively helps service providers build their brand	2021-11-16	Marketing,Publishing,Web Design	1-10	NA	https://www.getexclusively.com/	Chicago,Illinois,United States,North America	0	seed	Jeffrey Garibay	70b15ff4-599b-4312-a348-b5bffa6b5a96	Calm Company Fund	1.0	-0.2	-0.4	-1.0	504070.0	active	0.7132782821211283
91	Accomplice	Accomplice helps them find an AI-powered image workflow that works for them.	2021-01-01	Artificial Intelligence (AI),SaaS,Web Design	1-10	NA	https://accomplice.ai	Charlotte,North Carolina,United States,North America	0	seed	Adam Howell	c72a2a65-62f4-6931-fd6e-8b5a32b40d50	TinySeed	1.0	0.0	1.6	0.0	315722.0	active	0.713331257764622
102	NoFUD	No FUD is a company that helps businesses find and hire the best developers and designers.	2021-01-01	Developer Platform,Employment,Recruiting,Web Design	1-10	NA	https://nofudinc.com/	Miami,Florida,United States,North America	0	seed	Not found	Not found	SevenTrainVentures	1.0	-0.4	-0.8	-0.3	631394.0	active	0.7174667027868571
48	Shibuya	Shibuya is a web3 content studio and creator platform.	2022-01-01	Blockchain,Software,Video,Web Design,Web3	1-10	NA	https://www.shibuya.xyz/	New York,New York,United States,North America	6900000	seed	Emily Yang,Maciej Kuciara	66c76ac8-ef0b-467f-82c4-79da9228988a,e239d8fb-9cd6-4f20-ab25-c637af77daa9	Variant,a16z crypto,Kevin Durant,Stani Kulechov,Paris Hilton	8.0	0.4	0.3	0.5	114393.0	active	0.7177299382060902
112	ITsolx	ITsolx is a digital transformation consulting and software development firm that offers cutting-edge engineering solutions.	2021-12-04	Apps,Consulting,Information Services,Information Technology,Internet,Software,Web Design,Web Development	1-10	NA	https://www.itsolx.com	Bandarawela,Uva,Sri Lanka,Asia	0	seed	Vigneshwaran Kandasamy,Yohit Kumar	0a73698c-32d5-4b16-b2cd-83f3078bac41,5e5efb95-e0cc-4936-875a-4429a587cf4c	Not found	NA	-0.2	-1.5	-1.9	1492313.0	active	0.71930959392727
81	GLOBAL ONE	Technology, Information and Internet	2023-03-27	Advertising,Commercial,Consulting,E-Commerce,Information Technology,Internet,Marketing,Software,Web Design,Web Development	51-100	NA	https://global-one.io/	Cape Town,NA - South Africa,South Africa,Africa	0	seed	Daniel Nel	5465ef83-b1d7-45fc-94cc-ea39db505050	Not found	NA	0.0	0.4	2.7	227083.0	active	0.7196862345620523
100	Kullerian Bilişim	Web development, SEO management, Social Media Management	2022-10-18	Mobile Apps,SEO,Social Media,Web Design	1-10	NA	https://kullerian.com/	Çankaya,Ankara,Turkey,Europe	0	seed	Berk Kulle	c98d0fd8-35d8-4522-ad87-5393194c5a54	Techstart Ventures	1.0	-0.3	-0.9	-1.3	568407.0	active	0.7203258033492054
82	Yellow Pencil	Yellow Pencil is an IT services provider specializing in web strategy, user experience, web design, development, and hosting.	2023-10-24	Information Technology,Internet,Software,Web Design,Web Development,Web Hosting	11-50	Less than $1M	https://yellowpencil.com	Edmonton,Alberta,Canada,North America	0	seed	Paul Bellows	016ea09d-06b5-41fc-9fea-01754274fbf6	Not found	NA	-0.2	-0.4	-0.4	249631.0	active	0.7208968896961916
117	Lihui Technology	Lihui Technology is a digital solution provider for small and medium-sized enterprises.	2022-08-29	Software,Web Design,Web Development	11-50	NA	http://lhkj.vip/	Nanjing,Jiangsu,China,Asia	0	NA	Not found	Not found	Linfeng Investment Management	1.0	0.0	0.0	-0.7	3192985.0	active	0.7209654504202009
31	Dexon Technologies	Staff Augmentation Provider	2021-09-26	Consulting,Health Care,Information Technology,Marketing,Outsourcing,Professional Services,Software,Staffing Agency,Web Design,Web Development	11-50	NA	https://dexontechnologies.com/	Detroit,Michigan,United States,North America	1200000	seed	Abdullah Mirza	39076690-a2f4-4b4d-bd29-0fbf47a34cdb	Not found	NA	0.6	-0.1	-0.4	85158.0	active	0.7216897323208953
15	Frontitude	Frontitude transforms how product teams deliver UX copy and helps them craft a consistent product language that increases user engagement.	2021-01-01	Product Design,Software,UX Design,Web Design	1-10	NA	https://frontitude.com	Tel Aviv,Tel Aviv,Israel,Asia	1600000	seed	Barak Simon,Tomer Gabbai	ea3504df-cb21-4d30-8d8e-be22252b7070,205428ab-f601-4962-b0f0-b6b5bb838d55	StageOne Ventures,Tomer London	2.0	0.0	1.0	1.7	52383.0	active	0.7217751380363686
101	Koderbox	Koderbox believe in maintaining the highest integrity, delivering consistent productivity along with top-notch quality software.	2021-02-24	Consulting,Education,Information Technology,Internet,Marketing,Software,Web Design,Web Development	1-10	NA	https://koderbox.com	Gurgaon,Haryana,India,Asia	0	early_stage_venture	Not found	Not found	Amit Yadav,mohit mehto	2.0	-0.3	0.1	-0.2	597786.0	active	0.7218975136638669
123	Uinkits	All-in-one Figma Design System and UI Kits	2023-01-01	Graphic Design,Information Technology,Product Design,Software,UX Design,Web Design	1-10	NA	https://www.uinkits.com	Not found	200000	seed	Not found	Not found	Not found	NA	NA	NA	NA	NA	active	0.7239016298633711
57	Codezela Technologies	SaaS, Web, Mobile App, Marketing	2021-05-28	E-Commerce,Information Technology,Software,Web Design,Web Development	11-50	NA	https://codezela.com	Colombo,Western,Sri Lanka,Asia	89000	early_stage_venture	Dhananjaya Pasan,Sayuru Akash Amarasinghe	82ddc3d0-046c-4d76-b5d8-de960991212e,d362285c-b66f-4d9f-b282-9b5c1b0239f7	Not found	NA	0.7	1.4	3.8	126153.0	active	0.7252775859275471
24	SQUARES	SQUARES build commerce sites with no-code and use and manage them with ease.	2021-09-01	Developer Tools,E-Commerce Platforms,SaaS,Software,Web Design,Web Development	11-50	NA	https://squares.ai/	Seoul,Seoul-t'ukpyolsi,South Korea,Asia	660546	seed	Jinwoo GO	8fb773c6-b77a-4670-ad54-797db4e4461f	Strong Ventures,VNTG Corp.	2.0	-0.1	-0.3	-1.0	69951.0	active	0.7263769102604525
11	4Everland	4Everland is a cloud computing platform that offers website and app design and development services.	2021-01-01	Apps,Cloud Computing,Web Design	51-100	NA	https://www.4everland.org	Richmond,Victoria,Australia,Oceania	3500000	seed	Not found	Not found	Arweave,Fenbushi Capital,Waterdrip Capital,Bixin Ventures,Bing Ventures	13.0	-0.1	-0.1	-2.1	36176.0	active	0.7266092060818934
79	Misqom Agency	Misqom Agency is a digital marketing agency that offers business consulting services.	2022-01-31	Creative Agency,Digital Marketing,SEO,Social Media Marketing,Web Design	1-10	NA	https://misqom.agency/	Dubai,Dubai,United Arab Emirates,Asia	1000	seed	Wisdom Ofoegbu	eee7cdd1-8967-464c-baea-ae9587bbe45d	Not found	NA	-0.1	0.4	0.2	211563.0	active	0.7269624115200383
45	Lamego	Plataforma de marketing que reúne agências especializadas	2022-11-25	Advertising,Digital Marketing,Social Media Marketing,Web Design	11-50	NA	https://lamego.com.vc/	São Paulo,Sao Paulo,Brazil,South America	30499	seed	Not found	Not found	VENTIUR,Ventiur	2.0	-0.1	-0.3	5.3	113567.0	active	0.7278832309387808
108	RavenDev	Enabling future with data and IT solutions.	2022-04-15	Advertising,Apps,Artificial Intelligence (AI),Digital Marketing,Information Services,Information Technology,Marketing,Software,Web Design,Web Development	11-50	NA	https://www.ravendev.com.pk	Lahore,Punjab,Pakistan,Asia	0	NA	Shahzaib Chadhar	713666c2-d70f-41b8-9a10-1979ff1a4083	Not found	NA	-0.5	-0.6	-0.4	791073.0	active	0.7283940444972583
61	Taksh It Solutions Private Limited	Taksh IT solutions is a software development company that design and build scalable software solutions.	2021-01-18	Information Technology,Mobile Apps,Software,Web Design	11-50	NA	https://takshitsolutions.com/	Noida,Uttar Pradesh,India,Asia	42777	early_stage_venture	Sachin Kumar	ab5a2f1c-8f9e-4cb6-bda3-4c1008f504d5	Microsoft,346yhbf,Sachin Kumar	3.0	-0.1	0.4	-0.3	141356.0	active	0.7291554632521675
