	company	description	founded_on	categories	num_of_employees	revenue	website	location	funding	funding_stage	founder_names	founder_uuids	investors	num_of_investors	rank_change_week	rank_change_month	rank_change_quarter	rank	status	embedding_distance
120	Rilla	Rewiring the Content Economy	2024-01-10	Video Streaming,Web3	1-10	NA	https://rilla.network	Not found	200000	seed	Hal Smith Stevens,Pul Bandara	9a980a47-11aa-4fdc-9658-ec2000ab1add,6d3a2147-90ef-40e3-83a3-af7d4acd784c	Blockchain Founders Fund	1.0	NA	NA	NA	NA	active	0.6266943553733425
0	Vibe	Vibe is a streaming TV advertising company for small and medium-sized businesses.	2021-08-04	Advertising,Internet,Marketing,TV	11-50	NA	https://www.vibe.co/	Chicago,Illinois,United States,North America	28850000	early_stage_venture	Arthur Querou,Franck Tetzlaff	b2b43dfc-c284-8e3c-9f02-d17fef88960f,e2f3b681-59eb-40b0-6f79-936b024e6d3a	Benjamin Antier,The Very Group,Elaia,Sequoia Scout,Singular	9.0	-0.4	1.6	9.6	1386.0	active	0.6301727558066942
107	Neon Music Network	Neon Music Network is a music-video streaming service	2021-03-09	Apps,Internet,Media and Entertainment,Music,Music Streaming,Video Streaming	1-10	NA	NA	Not found	0	seed	Kais Radwan	a988a1b8-d38e-4d0b-a256-77b4a9b7a189	Diana Albrihi	1.0	0.4	1.0	1.2	466102.0	active	0.633048607701183
29	MContent	MContent is a platform that creates direct financing and investments for deserving content creators, film professionals, and media artists.	2021-01-01	Content Delivery Network,Film Distribution,Funding Platform,Video Streaming	11-50	NA	https://www.mcontent.net/	Tórtola,Castilla-La Mancha,Spain,Europe	5000000	seed	Not found	Not found	Planet N Group of Companies,Gargash Group,Fiducia	3.0	-0.1	-0.2	-0.1	60971.0	active	0.6369741025492159
99	tiun	Payment solution for media and streaming.	2023-01-10	Digital Entertainment,Digital Media,Mobile Payments,Music Streaming,Payments,Publishing,Transaction Processing,Video Streaming	1-10	NA	https://tiun.app	Zürich,Zurich,Switzerland,Europe	0	seed	Christian Heiduschke,Sandro Zweig	b9e9a6a9-c8c6-4f5f-85a0-91acf3bbefbf,f30c27b6-0daa-4319-a749-c1fc30e424c6	Founderful Campus	1.0	-0.2	0.0	-0.5	307313.0	active	0.6395561365956183
104	Tilt	Tilt is a mobile live-streaming platform that offers different shows.	2021-01-01	Digital Entertainment,Digital Media,Media and Entertainment,Video Streaming	1-10	NA	https://watchtilt.com	New York,New York,United States,North America	0	seed	Not found	Not found	FJ Labs	1.0	1.0	0.6	0.5	356244.0	active	0.640236055982927
90	LiveSpace	Livestreaming, Media, Entertainment, Creator Economy, Sports, Esports, Music, Payments, Consumer, Social, Video	2021-03-01	Content Creators,eSports,Media and Entertainment,Payments,Social Media,Sports,Video,Video Streaming	1-10	NA	https://live.space	Los Angeles,California,United States,North America	0	seed	Spenser Hyun,Todd Nelson	b22050aa-546e-46ae-8731-fac4e4a85e39,6e55804b-3343-4647-b4a3-4111d160aa32	Not found	NA	-0.1	0.0	-0.2	180713.0	active	0.6419245951828128
21	Stream Sage	We help content creators offer interactive live video stream experiences amplified by data-driven engagement features and shopping.	2021-01-01	Analytics,eSports,Information Technology,Machine Learning,Software,Video Streaming	11-50	$1M to $10M	http://streamsage.io	Charlottesville,Virginia,United States,North America	3400000	seed	Blazej Wojtyla,James Hsu,Robert Labus,Seweryn Zeman,Tymoteusz Wojtyla	5e9af359-2876-0c46-9953-0629064247e4,bb09e3a7-e989-47b9-8ae0-a0e501ca7b6f,f22e87f1-5d96-5a96-45be-84896a078fe4,ff1b00ef-27ff-7a93-18eb-114fa31bb700,59080981-07aa-cedf-8de5-0cf344c95bfa	Acrobator Ventures | Acrobator.vc,Innovation Nest	2.0	-0.1	0.8	-0.2	50422.0	active	0.6454881515419775
79	Crypt2 TV	Crypt2 TV is an online esports entertainment company that features a wide collection of sporting content.	2022-09-15	Digital Entertainment,Digital Media,Fantasy Sports,Journalism,Media and Entertainment,Sports,TV,TV Production,Video Streaming	1-10	NA	https://tv.crypt2esports.com	London,England,United Kingdom,Europe	20000	seed	Not found	Not found	Sam Enrico Williams	1.0	0.6	0.8	0.8	154581.0	active	0.6480126618424447
73	Marshmallow Media Pvt Ltd	Mobile App	2021-09-04	Media and Entertainment,Mobile Apps,Video Streaming	1-10	NA	https://joinlollipop.com	Not found	93760	seed	Not found	Not found	MystartupYatra	1.0	1.0	0.4	0.4	131247.0	active	0.6502748325089511
76	Synura	Plan, produce, review, and publish streaming and on-demand video content.	2022-05-04	Content Creators,Digital Media,Media and Entertainment,Social Media Marketing,Video Advertising,Video on Demand,Video Streaming	1-10	NA	https://www.synura.com	San Francisco,California,United States,North America	2000000	seed	Jason Yavorska	cb2005bb-42b9-4c1a-a91d-8348af3c7d20	Not found	NA	-0.1	-0.2	-0.5	137585.0	active	0.6528110260710979
9	Mansa	Mansa develops a streaming platform featuring the black culture.	2021-01-01	Information Technology,Social,Video Streaming,Web3	11-50	NA	https://www.mansa.com/	Woodland Hills,California,United States,North America	8000000	seed	Chiké Okonkwo,David Oyelowo,Nate Parker,Zak Tanjeloff	0474ed87-e958-495a-82ad-fc9bf3cf3eea,368a6bf8-4fea-4493-a829-4782d526bc31,8e1ea898-b480-4163-9fd4-ced451a1578c,709f8905-c684-a88c-7868-a41f18c3b718	MaC Venture Capital,Base Ventures,Vista Equity Partners,Jeffrey Katzenberg,Dubin & Company	7.0	0.2	0.9	2.8	21735.0	active	0.6538192031320166
2	Fireside	Co-Founded by Falon Fatemi and Mark Cuban, Fireside is the first interactive Web3 streaming platform.	2021-01-01	Broadcasting,Media and Entertainment,Social,Video Streaming,Web3	101-250	$1M to $10M	https://www.firesidechat.com/	San Francisco,California,United States,North America	35000000	early_stage_venture	Ashwat Venkatesan,Falon Fatemi,Mark Cuban	00ee1076-48bc-4bdb-b6ee-541f7518602c,3c98f591-d132-0459-cd60-eb0f72694160,ebae6782-7040-b515-9c89-36fb0a31e113	Gaingels,Precursor Ventures,GTMfund,David Carrico,Goodwater Capital	16.0	0.4	3.8	2.7	6659.0	active	0.653901128880018
100	Vimmerse	Vimmerse provides a platform as well as SDKs that enable users to produce, distribute, and watch 3D videos.	2021-01-01	3D Technology,Media and Entertainment,Video Streaming	1-10	Less than $1M	https://www.vimmerse.net	San Jose,California,United States,North America	0	NA	Not found	Not found	Y Combinator	1.0	-0.2	-0.3	-0.1	328491.0	active	0.6547593412300056
82	Lingopie	Language learning made easy with hit foreign TV shows and movies	2021-01-01	Digital Entertainment,E-Learning,EdTech,Education,Film,Media and Entertainment,Music Streaming,TV,Video Streaming	11-50	NA	https://lingopie.com	Tel Aviv,Tel Aviv,Israel,Asia	0	seed	David Datny,Roy Oppenheim	15cbb73b-19e8-4222-876c-b160dca06946,f2e89849-271a-4ae8-bcb7-788693206152	Google for Startups,Entrée Capital,MassChallenge	3.0	0.3	0.3	-0.2	155624.0	active	0.6573303129248173
84	Vuer	Saas powering immersive capabilities across connected TV.	2021-09-15	SaaS,TV,Video Streaming	1-10	NA	https://vuer.co	Doral,Florida,United States,North America	359500	seed	Omar Delgado	51ad2efc-5db8-424b-a1b4-996da18cee61	Not found	NA	-0.1	-0.1	-0.3	157829.0	active	0.6592267912567402
70	Asimula	Entertainment & Media Platform	2021-05-01	Film Production,Media and Entertainment,Video Streaming,Virtual Reality	11-50	NA	https://www.asimula.com	Seoul,Seoul-t'ukpyolsi,South Korea,Asia	450000	seed	Asim Kemas	3ccf6d41-7767-4c90-bcdc-9434942c56d3	Not found	NA	1.9	0.3	-0.2	125172.0	active	0.6602208625368444
49	Reel Mood	Reel Mood is a decentralized live stream music platform that lives on Blockchain Technology.	2021-03-03	Blockchain,Cryptocurrency,Metaverse,Music Streaming,Video Streaming,Web3	1-10	NA	https://www.reelmood.com	Los Angeles,California,United States,North America	300000	NA	Shantal Anderson	141b233c-39f5-42d0-9937-6027835956f9	Not found	NA	0.0	0.7	1.6	88498.0	active	0.6617765404590297
115	Wuhan Cuntian Film and Television Culture Co	Wuhan Cuntian Film and Television Culture Co.,. is a film and television producer, focusing on the field of entertainment services.	2022-01-01	Film,TV	NA	NA	NA	Not found	0	NA	Not found	Not found	Tencent	1.0	-0.6	-0.6	-0.5	1500817.0	active	0.6623488237756776
13	GAIN	GAIN is a video content platform supported by independent video content creators and has followed broadcasting policy.	2021-01-01	Broadcasting,Digital Entertainment,Film Production,Media and Entertainment,TV Production,Video on Demand,Video Streaming	51-100	NA	https://gain.tv	Üsküdar,Istanbul,Turkey,Europe	15000000	m_and_a	Gözde Akpınar	4c34f5d7-554b-44c6-b7f6-6f4c82aa137f	Gözde Akpınar	1.0	0.5	0.6	0.0	35879.0	active	0.6631987470805875
83	Streo	Streo allows artists to live stream, archive, and distribute their gigs thereby creating their own online music library for paid access.	2021-01-01	Content,Music,Video Streaming	1-10	NA	http://www.streo.live/	Los Angeles,California,United States,North America	100000	seed	Arush dhawan,Prerana Dhawan	c3b47468-38f2-9d00-4d30-d67b3008443b,d6c33c2c-9edd-b087-ea54-ebab12768504	gener8tor,Right Side Capital Management	2.0	0.1	-0.1	1.4	157583.0	active	0.6643806470079536
37	Thin/Air™	Next-Gen Media Platform for Creators and Global Youth Culture	2021-12-15	Advertising,Apps,Artificial Intelligence (AI),Media and Entertainment,Mobile,Software,Video Streaming,Web3	1-10	$1M to $10M	http://www.thinair.ai	Los Angeles,California,United States,North America	3240000	seed	Peter Dikhazi,Susan Brazer	c9a39dd1-b660-42b6-b97a-1410f7adcebc,c0f65932-68a7-64e5-43bc-54d0cffe2cda	Susan Brazer,Charles La,Robert Blake	3.0	0.4	1.0	-0.2	70976.0	active	0.6659515354215751
56	Nysta	Nysta is the future of brand management on streaming platforms. Manage creators, track brand mentions, viewership, and optimize video ads.	2021-03-01	Big Data,Information Technology,SaaS,Video Advertising,Video Streaming	1-10	NA	https://nysta.io/	Stockholm,Stockholms Lan,Sweden,Europe	130000	seed	Erik Persson,Nils Sjölin,Ringaile Valciukaite	a1bc8ebf-2bf9-4448-b68c-45458a1c36ae,621bd57f-0860-4548-8601-6e764a9f93b7,32671f0f-09cf-494a-b5a6-57879bea924a	Antler	1.0	0.0	-0.1	1.9	95888.0	active	0.6661962742895566
75	Telly	Telly offers the first Dual Screen Smart TV, is the ultimate free television upgrade for the living room.	2021-05-01	Electronics,TV,TV Production	51-100	NA	https://www.freetelly.com	Sherman Oaks,California,United States,North America	0	seed	Not found	Not found	Plug and Play,RiverPark Ventures,LionTree,AperiamVentures,LightShed Ventures	15.0	0.1	0.4	0.5	135218.0	active	0.6664492581732377
77	UshowMe	UshowMe is an interactive live stream solution that amplifies live shows and where artists, fans and brands find new ways of engagement.	2021-05-01	Concerts,Digital Entertainment,Digital Media,Information Technology,Media and Entertainment,Music,Music Streaming,Video on Demand,Video Streaming	1-10	NA	https://www.ushowme.tv/	Leiria,Leiria,Portugal,Europe	119289	seed	Hugo Castro,Luis Ferreira,Sisnando Felipe	89495b2e-05fc-4b43-8172-ca177a1d4853,bab1cd62-6cdb-4d85-ad30-f99b6c0760ae,89bad641-d7cf-4ed0-aee4-9b01bd436846	Demium Capital	1.0	-0.1	1.1	0.9	139074.0	active	0.667146168941253
106	STITT Entertainment NETWORK	Stitt Entertainment Network is a television channel.	2022-04-30	Content,Media and Entertainment,Video Streaming	1-10	NA	https://www.stittentertainmentnetwork.com/	Manchester,New Hampshire,United States,North America	0	seed	Robert Stitt	90dfe8bc-287a-48da-b20c-1fc47c557fd5	Not found	NA	-0.3	0.1	0.3	462651.0	active	0.6672443931461003
116	ZalaCompany	ZalaCompany is a software company that offers video editing program using AI and data.	2021-01-01	Broadcasting,Software,Video Streaming	1-10	NA	https://zalacompany.com	Seoul,Seoul-t'ukpyolsi,South Korea,Asia	0	seed	Not found	Not found	TIPS Program,MashUp Angels,KOSME	3.0	-0.4	0.2	-0.3	1662870.0	active	0.6693167095333971
30	Cheflix | Online Masterclasses	Cheflix is the newest streaming platform with unique masterclasses given by the world’s best Michelin star chefs.	2021-01-04	Cooking,E-Learning,Video Streaming	11-50	$1M to $10M	https://cheflix.com	Amsterdam,Noord-Holland,The Netherlands,Europe	4047993	seed	Jeroen van den Brink,Thomas van Burg	4ad70c41-2ef1-a773-588d-d767c91e65e1,0c5fd842-22d3-4c01-a1f3-25b2ee196e5d	Marnix Broer	1.0	0.1	1.0	-0.5	61561.0	active	0.6710315746818291
72	LGP1	Video Streaming & Esports Platform	2021-01-30	eSports,Video Games,Video Streaming	1-10	NA	https://www.letsgoplayer1.show/	Luxembourg,Luxembourg,Luxembourg,Europe	362037	seed	Not found	Not found	Marco Prinzi	1.0	0.8	1.4	8.4	127491.0	active	0.6714122802285918
103	Gummys TV	Gummys is a video and streaming platform that runs on WEB 3.0.	2022-01-01	Blockchain,Cryptocurrency,Video Streaming	1-10	NA	https://gummys.io/	Singapore,Central Region,Singapore,Asia	0	seed	Pasquale Sorrentino	84cd1841-5820-4ef7-b5e1-e78cef520a35	CV Labs	1.0	-0.1	0.9	0.5	350827.0	active	0.6716223915547215
94	RockNTix	RockNTix event ticketing app. RockNTV livestreaming, video & music sharing platform.	2021-01-01	Apps,Events,Media and Entertainment,Music,Ticketing,Video Streaming	1-10	NA	https://rockntix.com	Los Angeles,California,United States,North America	0	private_equity	Mo Abersheid	cf72b9f0-0c71-4e41-87d2-f9a7dca5b9e1	Not found	NA	-0.1	-0.3	-0.1	223664.0	active	0.6725726266290759
41	Symphony	Symphony’s is a new video streaming platform with a mission to reach and touch a global audience with the most beautiful music ever created.	2021-01-01	Video Streaming	11-50	NA	https://symphony.live	Amsterdam,Noord-Holland,The Netherlands,Europe	6390442	seed	Not found	Not found	Not found	NA	0.0	-0.1	-0.3	74975.0	active	0.6732855722837474
119	Yubo Bang	Yubobang is an internet celebrity MCN innovative service platform.	2022-06-22	Media and Entertainment,Video,Video Streaming	51-100	NA	http://www.yubobang.com/	Jiaxing,Zhejiang,China,Asia	0	seed	Not found	Not found	Anysoft	1.0	-0.1	1.9	-1.4	2479619.0	active	0.6792608228146151
89	Feature	Feature is a digital platform that enables generational IP and storytellers to thrive in the Web3 space.	2021-03-07	Blockchain,Digital Entertainment,Media and Entertainment,Music Streaming,Video Streaming,Web3	11-50	NA	https://feature.io	Los Angeles,California,United States,North America	0	seed	Steven Ilous	074fe665-8d69-4cfe-9531-f2b4f80b0861	Polygon,2 Punks Capital,Acme Innovation,Sterling.VC	4.0	0.3	0.0	1.6	179770.0	active	0.6793234339029023
81	U22	U22 is a media streaming platform.	2022-02-24	Government,Information Technology,Media and Entertainment,Military,Social Media,Video,Video Streaming	1-10	NA	https://u22.live	Kharkov,Kharkivs'ka Oblast',Ukraine,Europe	181500	seed	Vladislav Len	8b1916e5-d26e-40b6-a111-9381a7f842bf	Segment,Mixpanel,Amazon Web Services,Zendesk,Vladislav Len	5.0	-0.1	-0.2	-0.1	155488.0	active	0.6800841283391055
31	Framedrop	Framedrop is an automated live streaming highlight compilation tool.	2021-01-01	Media and Entertainment,Video Editing,Video Games,Video Streaming	1-10	NA	https://www.framedrop.co	Coimbra,Coimbra,Portugal,Europe	1200040	seed	JD Costa,Mário Tarouca	4fb0b254-c09f-4d57-8162-f08ad8ad4a0e,4e53f336-ca40-43e5-9d23-4470568a3b77	Accel,Shilling,Indico Capital Partners	3.0	1.0	1.9	3.1	62861.0	active	0.6834601555782993
91	LeadStory	LeadStory is a news streaming platform.	2021-05-01	Media and Entertainment,News,Video Streaming	1-10	$1M to $10M	http://leadstory.com	Sydney,New South Wales,Australia,Oceania	0	seed	Cameron Price,Cheyne Wallace	7ebaa9f4-ab44-413d-86af-8b795ff788a0,9f09265f-2797-c82d-cd24-ac9e49b27aaf	CP Ventures,Chris Sang,Emlyn Scott	3.0	0.1	0.2	0.4	191540.0	active	0.6883600582044882
110	Champ's	Champ's is an online high-level sport video broadcasting application that provides new LIVE experience.	2022-01-01	Audio,Broadcasting,Video Streaming	11-50	NA	https://www.champs.fr/#recrutement-1	Noisy-le-roi,Ile-de-France,France,Europe	0	NA	Not found	Not found	Incubateur Belle de Mai	1.0	-0.2	1.1	8.1	609691.0	active	0.6885655209064271
24	Wincast	Interactive Platform For Live Sports	2021-10-01	Blockchain,Digital Entertainment,Sports,Video Streaming	1-10	NA	https://wincast.io/	New York,New York,United States,North America	2775000	seed	Noah Diskin Kline	07296ac9-d13b-426a-9e92-50ac87a91315	Gate.io,Polygon,MH Ventures,HashKey Capital,Ceras Ventures	10.0	0.6	0.1	1.0	54383.0	active	0.6886598366911324
87	Savage	Savage is an NFT marketplace and next-generation streaming app for 4K/8K video and photography.	2021-01-01	Blockchain,Cryptocurrency,E-Commerce,Marketplace,Video Streaming	1-10	NA	https://savage.app	Portland,Oregon,United States,North America	1500000	seed	Not found	Not found	Ash Crypto,Polygon Ventures,Morningstar Ventures,Faculty Group	4.0	1.5	5.9	6.9	165856.0	active	0.6907595209044484
102	LAYZR	Enhancing live-streaming through instant community gaming and customizable animated avatars.	2021-01-01	Gaming,Media and Entertainment,Online Games,Recreation,Serious Games,Video Games,Video Streaming	11-50	Less than $1M	https://www.layzr.gg/	Ehingen,Baden-Wurttemberg,Germany,Europe	0	seed	Not found	Not found	Atlantic Labs	1.0	2.4	3.2	0.0	347269.0	active	0.6916357945370675
101	Animick	World's 1st Web 3.0 Anime Social streaming Platform with NFT Marketplace. Watch, Upload And Connect With Weebs All Around The World.	2022-02-04	Animation,Art,Blockchain,Content Creators,Cryptocurrency,Film Production,Marketplace,Social Media,Video Streaming	1-10	NA	https://www.animick.com	New Delhi,Delhi,India,Asia	0	seed	Aryan Alone,Sahil Kushwah	2a8f1a89-284d-426f-bf8f-2048aaac6f77,f7debd77-e03a-4d15-97cd-dd5889cc0823	Not found	NA	-0.2	0.7	2.4	345445.0	active	0.6918375655900937
26	mtion interactive	mtion is creating a collaborative sandbox UGC platform for otaku communities.	2022-08-01	Artificial Intelligence (AI),Gaming,Social Media,Software,Video Games,Video Streaming,Virtual Reality,Virtual World	1-10	NA	https://www.mtion.xyz	Kitchener,Ontario,Canada,North America	529925	seed	Jeremy Hartmann	0449ba5f-2f3d-4409-b7aa-43bbc95e38a9	Techstars,Archangel Network of Funds,Pareto Holdings,Jon Oringer,Nadav Ben-Chanoch	12.0	0.4	0.4	3.7	57868.0	active	0.6922572686784356
98	Stunn	Stunn is a video editing platform that simplifies the process of video editing.	2023-11-22	Software,Video,Video Editing,Video Streaming	1-10	NA	http://www.stunnvideo.com	Not found	0	seed	Christian Ochei	1eafb473-4112-46cb-9373-c800e94137d3	Not found	NA	-0.3	-0.4	0.0	303885.0	active	0.6933496243894959
50	Spartacus Sports	Spartacus Sports serves as a media platform dedicated to combat sports.	2022-03-01	Digital Entertainment,Sports,Video Streaming	11-50	NA	https://spartacus-mma.com/	Claymont,Delaware,United States,North America	1100000	seed	Andrey Ilskiy,Valerii Makovetskii	e8d17fdc-a8bd-4899-bfb4-cb5574de9fb3,b28254aa-c1d1-4b4d-bbf3-305b2f4a3788	Not found	NA	-0.1	0.5	-0.2	90529.0	active	0.6935970410228303
46	Rocco Live	Rocco Live is a live streaming platform that allows its users to broadcast daily activities, habits, and online services to their followers.	2023-08-13	Apps,Content Creators,Mobile Apps,Video Streaming	1-10	NA	https://liverocco.com	Not found	100000	early_stage_venture	Ehtisham Rao	0d588f7a-4fc6-456e-9379-c1a0ef166478	Not found	NA	-0.1	-0.3	-0.4	81536.0	active	0.6966856252003529
117	TheClub	TheClub is a software company that designs and develops a live-streaming app that helps in making meaningful connections.	2021-01-01	Apps,Media and Entertainment,Social Media,Video Streaming	1-10	NA	https://intheclub.app/	Trenton,New Jersey,United States,North America	0	NA	Not found	Not found	Google for Startups	1.0	-0.2	3.0	-0.3	1716278.0	active	0.6972730392530436
34	eShot Labs	eShot Labs delivers WEB3 x VIDEO impactful solutions to the world of Media & Entertainment.	2022-02-22	Broadcasting,Fantasy Sports,Information Technology,Media and Entertainment,Software,Sports,Video,Video Editing,Video Streaming,Web3	11-50	NA	https://eshotlabs.com/	Paris,Ile-de-France,France,Europe	3697994	seed	Fergus LELEU,Jean-Baptiste Kempf	bbdabdd2-4e98-4989-98eb-6842cd96bef9,f01201b2-1f56-42d3-20b6-a032653e2bd5	Ventech,BANA Angels	2.0	1.3	1.4	0.5	65766.0	active	0.6973227584867001
39	Lineup	Lineup is a surf forecasting and live-streaming social platform.	2021-01-01	Marine Technology,Surfing,Video Streaming	1-10	NA	https://lineup.surf/	Montevideo,NA - Uruguay,Uruguay,South America	303000	NA	Alejandro Silva,Fabian Fernandez,Nicolas Bonora	327a7c77-28ea-4427-9717-fb1bfb3aade2,e089536c-4c58-4fe8-1a67-a943122e0eaa,6ff3d6c7-cba0-4c76-8dfd-86bd104ba56c	Agencia Nacional de Desarrollo,Fabian Fernandez,Nicolas Amarelle,Rafael Piriz,Diego Robino	10.0	0.0	-0.1	2.2	73603.0	active	0.69751075094783
28	Cosmic Singularity	Cosmic Singularity is a digital platform for anchors and live broadcast rooms.	2021-02-24	Digital Entertainment,Media and Entertainment,Video Streaming	51-100	NA	https://www.paybo.cn/	Hangzhou,Zhejiang,China,Asia	11284388	early_stage_venture	Not found	Not found	Discovery Unicorn (Nanjing) Venture Capital Fund,Innohub Capital,Zhongwei Yihe Investment,Tuoyuan Wisdom	4.0	5.8	4.6	3.7	59963.0	active	0.6991514212230128
58	Virtuosica	Virtuosica™ is the first DIY virtual concert marketplace platform.	2021-07-01	Digital Entertainment,Digital Media,Information Services,Marketplace,Music,Music Streaming,Video Streaming	1-10	Less than $1M	https://virtuosica.com	Marina Del Rey,California,United States,North America	300000	seed	Danica Radisic,Teri Lee Hirano,Warren E. Peterson	3e5652a7-88fd-421f-8051-84649d2337a2,f850092d-10c8-45ff-af98-0c8879b12457,ca3ec9b0-0e96-4709-b935-912ad53d6c27	Warren E. Peterson	1.0	0.5	0.6	3.4	97087.0	active	0.6993748721087147
97	Original Bear Capital	TV & FILM IP DEVELOPMENT STUDIO	2023-01-01	Film,Media and Entertainment,TV,TV Production	1-10	NA	https://www.originalbearcapital.com	Los Angeles,California,United States,North America	0	seed	Alexander Woronovich,Erik Felderhof	d634a1f9-5704-430e-8395-0d8ef68ca3a9,72410cd3-52bd-485d-ae1b-4f4068a3a5fe	Not found	NA	2.0	1.9	9.3	293743.0	active	0.6994826433390006
71	FROW	FROW is a community marketplace that hosts live-streamed record signings and discussions with artists.	2021-03-25	Marketplace,Music,Video Streaming	1-10	NA	https://www.frow.live	London,England,United Kingdom,Europe	205146	seed	Peyman Khanjan,Sebastien Villevet	5f2e3acd-ac4e-89a0-1df1-93cb133778af,e393931e-da5f-45b0-a287-d610d658ba2b	Arnaud Massenet	1.0	0.5	2.0	0.7	126727.0	active	0.6995096593334564
